exp	split	score	sharpe	return_pct	max_dd_pct	trades	win_rate	profit_factor	symbols	date	notes
exp35	val	3.12	3.58	1.6	0.2104	38	84.2	5.49	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	min_history 73, cooldown 1 (boost trade count)
exp36	val	1.45	1.45	2.2	1.5978	83	75.6	2.10	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	all 28 pairs from 8 coins
exp37	val	1.25	1.57	0.9	0.9205	32	75.0	3.01	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	all 28 pairs, entry 4.5, stop 6.0
exp38	val	3.06	3.51	1.6	0.2352	38	84.2	6.80	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	asymmetric leg sizing based on volatility tiers
exp39	val	3.07	3.52	1.5	0.2104	38	84.2	5.26	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	exit 0.75 (fine-tune between 0.7 and 0.8)
exp40	val	0.98	1.13	0.3	0.1603	38	52.6	1.68	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	trailing z-score exit: exit when z reverts 1.5 from peak
exp41	val	1.32	1.42	1.4	1.1814	43	81.0	2.67	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	all 28 pairs, entry 4.2
exp42	val	3.12	3.58	1.6	0.2104	38	84.2	5.49	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	max 3 simultaneous pair trades
exp43	val	-0.85	-0.85	-1.1	1.4400	55	66.7	1.06	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	residual regression approach: OLS beta-adjusted spread
exp44	val	2.79	3.19	1.0	0.1245	38	73.7	3.34	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	relative exit: exit when z reverts 60% from entry level
